mass1_source,mass2_source,ra,dec,redshift,snid,mej,costheta,mass1,mass2,chirp_mass,first_detection,distance
1.9850,1.1386,89.2317,-26.6765,0.0942,56837777,0.0400,-0.8960,2.1719,1.2458,1.4211,1414235380.5,446.3014
1.6951,1.0156,86.3491,-57.9540,0.1639,17824697,0.0300,-0.1796,1.9729,1.1821,1.3208,1417240480.5,812.0610
2.0291,1.2588,64.9953,-17.5931,0.1476,4763502,0.0300,-0.8014,2.3286,1.4446,1.5877,1447350543,724.0646
1.4571,1.0853,139.8077,-26.4083,0.1228,15253234,0.0100,0.1657,1.6361,1.2187,1.2266,1399717143,593.2174
1.9427,1.1951,62.3238,-18.1492,0.1786,30768609,0.0300,-0.4284,2.2897,1.4086,1.5543,1413731830.5,892.7047
1.8652,1.0460,338.9825,-57.2489,0.1263,38133636,0.0400,-0.9603,2.1008,1.1782,1.3584,1476297580.5,611.5729
1.8672,1.1911,355.4979,-26.5674,0.0995,20006982,0.0250,-0.7973,2.0530,1.3096,1.4203,1474112605.5,473.1460
1.9233,1.2330,155.8378,-50.6211,0.0818,85660399,0.0250,0.0226,2.0807,1.3339,1.4432,1420406230.5,384.6477
2.0294,1.2488,322.2312,-48.6668,0.0437,37220084,0.0300,-0.3457,2.1181,1.3034,1.4380,1436023030.5,200.0412
2.0321,1.2604,54.8700,-36.9496,0.1488,35598587,0.0300,0.4130,2.3345,1.4480,1.5915,1445213493,730.6385
1.6494,1.0269,54.5097,-20.6068,0.0449,43769201,0.0250,0.2603,1.7233,1.0730,1.1772,1385595805.5,205.4490
2.0176,1.1600,334.4017,-22.9542,0.1969,59986719,0.0400,-0.5538,2.4150,1.3885,1.5821,1411586680.5,995.0563
1.9850,1.1386,39.8871,-26.1434,0.1928,70383039,0.0400,0.2386,2.3677,1.3581,1.5492,1414092618,971.8443
1.6951,1.0156,344.3391,-19.8295,0.1211,12184284,0.0300,0.2154,1.9003,1.1386,1.2722,1404494793,584.0048
1.8495,1.2281,323.0513,-4.4803,0.1981,13906968,0.0200,-0.2488,2.2159,1.4714,1.5654,1404916330.5,1001.7571
1.9752,1.2600,106.3202,-61.0866,0.1530,45301205,0.0250,0.1370,2.2774,1.4527,1.5756,1388544543,752.9909
1.7665,1.1761,205.8385,-17.9302,0.1808,55072665,0.0200,0.6972,2.0858,1.3887,1.4756,1455796143,904.9435
1.8652,1.0460,346.2162,-6.8700,0.0496,41800170,0.0400,0.8914,1.9577,1.0979,1.2658,1469972493,228.0900
1.5542,1.0088,329.3869,-24.7608,0.0675,51410340,0.0200,-0.0457,1.6591,1.0769,1.1583,1437364593,314.3984
1.6893,1.1208,167.6988,2.9667,0.0800,29455062,0.0200,0.1857,1.8244,1.2105,1.2883,1454656068,375.6724
1.8672,1.1911,224.2899,-2.2424,0.1810,1062757,0.0250,0.2258,2.2053,1.4068,1.5257,1432355755.5,906.2487
1.6397,1.0880,354.1640,-15.3502,0.0616,39498651,0.0200,0.5996,1.7406,1.1550,1.2292,1473107530.5,285.4350
1.3373,1.0191,330.7917,-58.8156,0.0299,4576216,0.0100,-0.8511,1.3774,1.0496,1.0448,1464568105.5,135.7044
1.9233,1.2330,158.8390,-14.1258,0.0644,87236831,0.0250,-0.3873,2.0473,1.3125,1.4200,1423557130.5,299.2601
2.0294,1.2488,29.8220,-7.8890,0.1131,23134645,0.0300,0.0482,2.2589,1.3901,1.5336,1412035555.5,542.7685
1.8381,1.0267,49.9616,-11.2762,0.1586,23271819,0.0400,0.7047,2.1296,1.1896,1.3741,1447746768,783.4045
2.0176,1.1600,350.2936,-6.1020,0.2328,2407754,0.0400,0.4057,2.4873,1.4301,1.6295,1475147043,1200.2773
1.8862,1.1426,353.9991,-16.9078,0.1742,70998683,0.0300,-0.3051,2.2149,1.3417,1.4914,1404723618,868.7287
2.0002,1.2272,253.1480,1.0114,0.1567,14346117,0.0300,-0.2977,2.3136,1.4195,1.5683,1437761155.5,772.8820
1.4194,1.0700,136.4662,-4.3758,0.0258,84976938,0.0100,-0.6131,1.4561,1.0977,1.0984,1458351355.5,116.6879
2.0101,1.2973,35.9706,-12.4415,0.0927,9225981,0.0250,0.0325,2.1963,1.4175,1.5288,1449452493,438.7261
1.9850,1.1386,99.1132,-58.4623,0.0799,81996281,0.0400,-0.8530,2.1436,1.2295,1.4025,1416424743,375.0247
1.8797,1.0620,65.6644,-12.1197,0.1933,46816958,0.0400,-0.2431,2.2430,1.2672,1.4559,1452589555.5,974.4151
1.9276,1.0987,35.4392,-22.8680,0.1287,279241,0.0400,-0.6509,2.1758,1.2401,1.4189,1451215930.5,624.0804
1.9752,1.2600,0.1729,1.8804,0.1224,24165901,0.0250,0.6815,2.2170,1.4142,1.5337,1385061543,590.8537
2.0099,1.2301,61.0560,-57.1848,0.1637,1221266,0.0300,0.7318,2.3390,1.4315,1.5835,1411551580.5,811.2312
1.9414,1.1082,353.0588,-38.9674,0.0998,39461482,0.0400,0.2945,2.1352,1.2188,1.3935,1442086218,474.8532
1.6910,1.1274,149.7040,-23.2846,0.0757,38057457,0.0200,-0.8840,1.8191,1.2128,1.2878,1425178818,354.4741
1.8381,1.0267,70.7820,-2.1393,0.1141,7324405,0.0400,0.2280,2.0478,1.1439,1.3213,1416647493,547.9988
1.8862,1.1426,178.7665,-10.2155,0.1075,11546894,0.0300,0.2512,2.0889,1.2654,1.4066,1434561655.5,513.8058
1.8729,1.2705,327.2166,-19.9169,0.0905,26384224,0.0200,0.7590,2.0425,1.3855,1.4590,1407209980.5,428.1287
2.0002,1.2272,184.2252,-25.0461,0.0407,23285713,0.0300,0.3977,2.0817,1.2771,1.4111,1395559480.5,185.8998
1.5641,1.0128,339.1363,-15.7614,0.0845,55462283,0.0200,0.9416,1.6964,1.0984,1.1828,1470540505.5,398.1445
1.8434,1.1139,34.5225,-45.2082,0.0492,15594817,0.0300,-0.8805,1.9341,1.1687,1.3007,1419250968,226.1051
1.8293,1.2298,47.1768,-4.8714,0.0302,19565091,0.0200,0.7565,1.8844,1.2669,1.3398,1444511493,136.6732
1.8407,1.2446,300.3460,-8.1588,0.1141,80652436,0.0200,0.7331,2.0508,1.3866,1.4625,1401046555.5,548.0838
1.7365,1.0944,351.9984,-24.8186,0.2275,4452031,0.0250,-0.5266,2.1314,1.3433,1.4653,1437001443,1169.2534
1.6004,1.0425,68.4868,-2.6034,0.0351,69509767,0.0200,0.7308,1.6565,1.0791,1.1586,1416668080.5,159.4395
1.9766,1.2703,119.5267,-23.4296,0.0289,79547068,0.0250,-0.6960,2.0337,1.3070,1.4125,1422798093,130.9458
1.6397,1.0880,62.6307,-14.8014,0.2291,19172922,0.0200,0.6327,2.0153,1.3373,1.4232,1414335955.5,1178.8092
2.0099,1.2301,216.0981,-39.2556,0.0665,3342677,0.0300,0.5311,2.1435,1.3119,1.4511,1436190768,309.1376
1.7564,1.1676,340.5154,-12.4340,0.0424,83241424,0.0200,0.9307,1.8309,1.2172,1.2942,1439967730.5,193.9423
1.9233,1.2330,122.0840,-59.3901,0.0813,62387173,0.0250,0.2719,2.0798,1.3333,1.4426,1416129768,382.2426
1.8389,1.5361,80.9071,-46.3315,0.0270,43908425,0.0050,-0.5121,1.8885,1.5775,1.5014,1425169705.5,121.8797
1.8353,1.1611,18.7812,-45.3877,0.0976,33375072,0.0250,0.1696,2.0144,1.2744,1.3876,1447286418,463.6193
1.7218,1.1321,183.1643,0.2458,0.1160,29854229,0.0200,0.4803,1.9216,1.2634,1.3506,1424649618,558.0035
1.9414,1.1082,190.7508,-8.7661,0.2489,24636574,0.0400,-0.0949,2.4247,1.3840,1.5824,1430445843,1294.5839
1.6910,1.1274,174.8486,-16.3960,0.1434,23436831,0.0200,0.6895,1.9336,1.2891,1.3688,1429688830.5,701.8482
1.8381,1.0267,202.8147,3.6425,0.0689,70856569,0.0400,-0.4008,1.9647,1.0974,1.2676,1391732230.5,320.8505
2.0176,1.1600,174.9358,-6.4182,0.0733,13291443,0.0400,0.3108,2.1656,1.2451,1.4187,1420351555.5,342.6831
1.8403,1.1809,53.9810,-37.7267,0.1092,22855198,0.0250,0.7218,2.0412,1.3099,1.4165,1479539605.5,522.6402
1.9850,1.1386,47.7302,-22.2242,0.1285,29483999,0.0400,0.7556,2.2400,1.2848,1.4657,1470737943,622.7402
1.8797,1.0620,313.6985,-57.8748,0.2035,33370980,0.0400,-0.4966,2.2623,1.2781,1.4684,1435745268,1032.1589
1.9414,1.1082,195.7738,-23.5011,0.1142,45819954,0.0400,0.7695,2.1632,1.2348,1.4118,1426892643,548.5421
1.8381,1.0267,58.6242,-3.1688,0.1196,60029209,0.0400,-0.7249,2.0580,1.1496,1.3279,1421624605.5,576.6032
1.8862,1.1426,153.5949,1.2928,0.0624,64547136,0.0300,0.2495,2.0038,1.2139,1.3493,1389350155.5,289.2848
2.0101,1.2973,61.0331,-18.2883,0.1818,15637594,0.0250,0.5978,2.3755,1.5331,1.6535,1444704543,910.3677
1.8434,1.1139,85.7849,-21.7301,0.0605,49304203,0.0300,0.7311,1.9550,1.1813,1.3147,1419952293,280.4014
1.8293,1.2298,113.2068,-33.0986,0.1388,76103622,0.0200,-0.0748,2.0831,1.4005,1.4811,1389388968,677.1148
1.9850,1.1386,18.8032,-43.5847,0.1638,64103254,0.0400,0.0975,2.3101,1.3250,1.5115,1436500593,811.3947
1.8797,1.0620,359.1959,1.4007,0.1293,28583548,0.0400,0.4952,2.1228,1.1993,1.3779,1410832705.5,627.1387
1.6951,1.0156,4.1052,-2.4762,0.0856,38285629,0.0300,-0.4318,1.8401,1.1025,1.2319,1408579555.5,403.2249
1.7998,1.0073,288.7740,-16.5637,0.0982,29796437,0.0400,-0.7322,1.9766,1.1063,1.2767,1431966955.5,466.8342
1.9752,1.2600,63.0171,-36.3085,0.0747,8320994,0.0250,-0.9890,2.1228,1.3541,1.4686,1475276305.5,349.5221
1.8652,1.0460,351.8990,-8.6111,0.1782,54820031,0.0400,0.8602,2.1976,1.2325,1.4209,1412417943,890.6251
1.5840,1.1929,241.9850,0.9727,0.0440,33317090,0.0100,0.6863,1.6538,1.2454,1.2468,1398337443,201.4827
2.0131,1.2411,142.4426,-34.2121,0.1077,288769,0.0300,-0.9469,2.2298,1.3747,1.5154,1460582230.5,514.8962
1.9414,1.1082,331.3332,-24.3666,0.1595,26906443,0.0400,-0.5935,2.2512,1.2850,1.4692,1406028393,788.3987
1.8381,1.0267,217.3225,-2.1765,0.1438,3525701,0.0400,0.3274,2.1024,1.1744,1.3565,1458075955.5,703.8129
1.8862,1.1426,56.8379,-19.1446,0.1702,64604166,0.0300,-0.8025,2.2071,1.3371,1.4862,1385411530.5,846.2584
2.0101,1.2973,50.6521,-22.7450,0.2097,30563612,0.0250,-0.5710,2.4316,1.5694,1.6926,1411963330.5,1067.3668
1.9850,1.1386,153.6292,-17.3224,0.1599,65000176,0.0400,-0.9426,2.3023,1.3206,1.5064,1389446005.5,790.1886
1.8797,1.0620,45.2655,-40.5839,0.0778,45702432,0.0400,-0.6493,2.0259,1.1446,1.3150,1447651930.5,364.5770
1.9276,1.0987,28.3619,-14.3116,0.0956,37747874,0.0400,0.0655,2.1118,1.2037,1.3772,1466676130.5,453.3978
1.7998,1.0073,207.7359,-35.9546,0.0849,69163669,0.0400,0.9542,1.9526,1.0928,1.2611,1424646243,399.7839
1.8227,1.0225,78.5788,-18.6307,0.1218,22508504,0.0400,-0.2532,2.0447,1.1470,1.3223,1385186418,587.6872
1.9427,1.1951,308.3430,-15.2593,0.0497,82964935,0.0300,-0.9759,2.0392,1.2545,1.3843,1473477430.5,228.3222
1.8652,1.0460,71.5072,-55.5774,0.1516,85962137,0.0400,-0.4515,2.1479,1.2046,1.3888,1449215568,745.5655
2.0131,1.2411,301.0347,1.5981,0.0238,47861556,0.0300,-0.5211,2.0610,1.2707,1.4007,1460673693,107.3941
2.0333,1.1751,254.8131,-18.0401,0.0686,33804791,0.0400,-0.4387,2.1728,1.2557,1.4273,1461165430.5,319.5097
1.7048,1.1189,117.9572,-20.3619,0.0499,19898399,0.0200,-0.7913,1.7899,1.1747,1.2568,1388955955.5,229.4097
1.9414,1.1082,89.8797,-24.5038,0.1556,50441691,0.0400,-0.1133,2.2435,1.2806,1.4642,1420106193,767.0328
1.8381,1.0267,295.5820,1.2690,0.0354,77838548,0.0400,-0.8461,1.9031,1.0631,1.2280,1405041205.5,161.0594
1.8862,1.1426,312.2432,-52.9493,0.0554,29892836,0.0300,-0.7572,1.9907,1.2060,1.3405,1408826605.5,255.7912
2.0002,1.2272,353.2566,-23.7787,0.0947,49693912,0.0300,-0.2458,2.1897,1.3435,1.4844,1406872480.5,449.2414
1.9850,1.1386,331.1935,-5.5159,0.1026,81170733,0.0400,0.6709,2.1886,1.2553,1.4320,1404871780.5,488.9042
1.8797,1.0620,220.7509,-18.1578,0.1583,66770075,0.0400,-0.7851,2.1773,1.2301,1.4133,1426673605.5,781.6593
1.6951,1.0156,16.0821,-12.8349,0.0539,25258148,0.0300,0.1712,1.7865,1.0704,1.1960,1385093605.5,248.6615
1.9752,1.2600,109.5846,-35.9915,0.1006,33374293,0.0250,0.7244,2.1739,1.3867,1.5039,1397498755.5,478.7129
1.7219,1.0307,108.0137,-29.5609,0.1700,34334969,0.0300,0.9464,2.0145,1.2059,1.3481,1395901030.5,845.1875
1.8652,1.0460,198.4808,-41.5800,0.0568,17200261,0.0400,0.9057,1.9711,1.1054,1.2745,1424879455.5,262.3331
1.8563,1.0511,48.1324,-29.2248,0.0952,63099965,0.0400,-0.2886,2.0329,1.1511,1.3211,1421419068,451.3791
2.0182,1.1612,303.5322,-52.8341,0.1129,12333973,0.0400,-0.6117,2.2461,1.2924,1.4721,1408377393,541.9053
1.8566,1.0486,106.2844,-60.3970,0.0377,75532061,0.0400,0.8312,1.9265,1.0881,1.2503,1458123205.5,171.6127
2.0131,1.2411,112.9175,-26.4177,0.0867,15214976,0.0300,0.2642,2.1876,1.3487,1.4867,1449081580.5,408.8263
2.0099,1.2301,149.5791,-37.7117,0.1793,49000920,0.0300,-0.9991,2.3702,1.4506,1.6046,1388387268,896.3962
1.9414,1.1082,25.5436,-6.9384,0.1250,3473265,0.0400,-0.7457,2.1842,1.2468,1.4255,1416605305.5,604.7491
1.8842,1.4473,53.3863,-1.2330,0.0983,45048097,0.0100,0.1846,2.0695,1.5896,1.5762,1418491930.5,467.3310
1.8381,1.0267,72.6185,-16.6365,0.0975,75170554,0.0400,0.7634,2.0173,1.1269,1.3016,1385266068,463.2280
2.0176,1.1600,32.4819,2.6101,0.0501,26615267,0.0400,-0.0641,2.1188,1.2182,1.3881,1478708005.5,230.4837
1.8403,1.1809,312.1944,-5.2073,0.0801,87098872,0.0250,0.1848,1.9877,1.2755,1.3794,1404820818,376.0585
2.0101,1.2973,135.0995,-16.1191,0.0949,45247786,0.0250,-0.0607,2.2009,1.4205,1.5320,1427934168,450.2057
1.7365,1.0944,127.3157,-24.6605,0.0994,8811503,0.0250,-0.9919,1.9091,1.2031,1.3124,1461364555.5,472.8529
1.9739,1.2234,252.8608,-28.4111,0.0558,73008180,0.0300,0.8104,2.0841,1.2917,1.4203,1428537955.5,257.7444
1.7573,1.0649,195.4647,-36.1684,0.1765,10199663,0.0300,-0.5781,2.0675,1.2528,1.3924,1431566343,881.1739
1.9561,1.2080,57.4303,-22.9401,0.1031,58231852,0.0300,-0.4115,2.1578,1.3326,1.4678,1418787918,491.6695
1.9505,1.2535,179.7893,-12.8306,0.1414,33529342,0.0250,0.7394,2.2264,1.4308,1.5462,1426544343,691.0254
1.9850,1.1386,70.8921,-47.0492,0.1470,69503813,0.0400,-0.6832,2.2768,1.3059,1.4897,1419083905.5,720.8891
1.5836,1.0320,16.2962,-1.4822,0.0780,37465882,0.0200,-0.3225,1.7072,1.1125,1.1943,1448008668,365.9192
1.9414,1.1082,246.8498,-15.3559,0.1586,7694384,0.0400,-0.8139,2.2494,1.2840,1.4680,1399583493,783.2776
1.8381,1.0267,346.9521,1.1781,0.1812,30770417,0.0400,-0.5813,2.1711,1.2127,1.4008,1407582580.5,906.9550
2.0176,1.1600,88.1516,-25.1749,0.1277,75815764,0.0400,0.2531,2.2752,1.3081,1.4905,1457668593,618.4085
1.8862,1.1426,3.5994,-7.7179,0.0124,71203265,0.0300,0.7601,1.9095,1.1568,1.2858,1446461905.5,55.3761
1.8729,1.2705,332.7101,-36.2344,0.1859,45331750,0.0200,0.7920,2.2210,1.5066,1.5865,1447030255.5,933.0404
1.5641,1.0128,69.4832,-2.9101,0.0585,64298005,0.0200,0.4323,1.6556,1.0720,1.1543,1389527005.5,270.3437
1.8434,1.1139,171.1574,-29.7567,0.0590,66088093,0.0300,0.8312,1.9523,1.1797,1.3129,1463329143,273.2071
1.3520,1.0290,72.6214,-6.7919,0.1062,36570048,0.0100,-0.8104,1.4956,1.1383,1.1338,1389172293,507.5622
1.7427,1.0522,159.5914,-39.9719,0.1424,35717160,0.0300,0.6067,1.9907,1.2020,1.3382,1431416155.5,696.0343
1.9850,1.1386,74.5385,-54.5693,0.1019,25958991,0.0400,-0.8701,2.1872,1.2545,1.4311,1445669793,485.3128
1.9910,1.2747,280.1660,-38.3272,0.1613,70075187,0.0250,0.0834,2.3122,1.4803,1.6026,1430663193,797.9362
1.6951,1.0156,296.8309,-26.3302,0.0630,28270597,0.0300,-0.7163,1.8019,1.0796,1.2063,1407639955.5,292.3334
1.7998,1.0073,287.3220,-52.8028,0.1698,2938477,0.0400,-0.3200,2.1055,1.1784,1.3599,1462834705.5,844.5081
1.8227,1.0225,176.3082,-30.5060,0.1820,1846393,0.0400,0.5147,2.1544,1.2086,1.3932,1463105043,911.4407
1.9414,1.1082,34.7851,-23.3984,0.1688,813432,0.0400,0.4982,2.2692,1.2953,1.4810,1448262468,838.9451
1.8381,1.0267,48.0201,-6.6950,0.1655,33456687,0.0400,0.5741,2.1422,1.1966,1.3822,1475682655.5,820.6231
1.6494,1.0269,73.1179,-55.7581,0.0410,82575964,0.0250,-0.9968,1.7169,1.0690,1.1729,1390087593,187.1552
1.8862,1.1426,153.2232,-2.7024,0.0883,19256719,0.0300,0.4349,2.0528,1.2436,1.3823,1392075805.5,417.0690
1.9850,1.1386,56.4638,-40.8789,0.2447,59863239,0.0400,-0.2958,2.4707,1.4171,1.6166,1447363030.5,1269.7386
1.6951,1.0156,264.5203,-52.1251,0.1380,3166608,0.0300,0.2151,1.9289,1.1557,1.2914,1432575468,672.6892
1.7998,1.0073,147.0070,-6.0433,0.1793,69320084,0.0400,-0.4372,2.1225,1.1879,1.3709,1423989468,896.4375
1.6079,1.0415,294.9157,-35.7951,0.1031,88343962,0.0200,0.8851,1.7737,1.1489,1.2369,1431719568,491.7242
1.8040,1.2043,97.1580,-53.3890,0.1723,73288571,0.0200,0.0640,2.1149,1.4118,1.4982,1456095505.5,858.0436
1.8227,1.0225,55.3642,-13.3893,0.2049,15151798,0.0400,0.8402,2.1962,1.2320,1.4202,1455315880.5,1039.9605
1.8652,1.0460,86.8717,-37.4705,0.1102,51786607,0.0400,-0.8239,2.0708,1.1613,1.3389,1424065405.5,528.0343
1.8563,1.0511,357.5035,-20.1556,0.1012,7387683,0.0400,0.7131,2.0442,1.1575,1.3284,1435290655.5,482.1065
1.6778,1.6292,116.7786,-16.4141,0.0328,58876394,0.0025,0.4863,1.7328,1.6827,1.4865,1447996518,149.0443
